
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
40-0138                          U5                                 1   1     38  38   1 4           4 0                     (0-0-0)
40-0138                          U5                                 1   1     39  39   1 7           7 0 SWD_nRST            (692-5-13)
40-0138                          U5                                 1   1     40  40   1 1           1 0 VCC                 (2-6-13)
40-0138                          U5                                 1   1     41  41   1 9           9 0 VCC                 (2-6-13)
40-0138                          U5                                 1   2      1   1   2 48         48 0 VCC                 (2-6-13)
40-0138                          U5                                 1   2      1   1   3 36         36 0 VCC                 (2-6-13)
40-0138                          U5                                 1   2      1   1   4 24         24 0 VCC                 (2-6-13)
40-0138                          U5                                 1   3      1   1   5 47         47 0 GND                 (2-5-13)
40-0138                          U5                                 1   3      1   1   6 35         35 0 GND                 (2-5-13)
40-0138                          U5                                 1   3      1   1   7 23         23 0 GND                 (2-5-13)
40-0138                          U5                                 1   3      1   1   8 8           8 0 GND                 (2-5-13)
40-0168                          U2                                 5   1      1   1   1 23         23 0 XSIG030233          (692-46-13)
40-0168                          U2                                 5   1      2   2   1 14         14 0 XSIG030153          (692-33-13)
40-0168                          U2                                 5   1      3   3   1 1           1 0 HB_IN1              (692-13-13)
40-0168                          U2                                 5   1      4   4   1 11         11 0 HB_IN1              (692-13-13)
40-0168                          U2                                 5   1      5   5   1 2           2 0 HB_IN2              (692-12-13)
40-0168                          U2                                 5   1      6   6   1 12         12 0 HB_IN2              (692-12-13)
40-0168                          U2                                 5   1      7   7   1 4           4 0 XSIG030233          (692-46-13)
40-0168                          U2                                 5   1      8   8   1 9           9 0 XSIG030153          (692-33-13)
40-0168                          U2                                 5   1      9   9   1 5           5 0 XSIG030181          (692-36-13)
40-0168                          U2                                 5   1     10  10   1 8           8 0 XSIG030182          (692-37-13)
40-0168                          U2                                 5   1     11  11   1 21         21 0 XSIG030373          (1365-1-13)
40-0168                          U2                                 5   1     12  12   1 16         16 0 XSIG030375          (1373-1-13)
40-0168                          U2                                 5   1     13  13   1 24         24 0 XSIG030175          (692-34-13)
40-0168                          U2                                 5   1     14  14   1 13         13 0 XSIG030176          (692-35-13)
40-0168                          U2                                 5   1     15  15   1 3           3 0 GND                 (2-5-13)
40-0168                          U2                                 5   1     16  16   1 10         10 0 GND                 (2-5-13)
40-0168                          U2                                 5   1     17  17   1 15         15 0 XSIG030197          (692-41-13)
40-0168                          U2                                 5   1     18  18   1 22         22 0 XSIG030367          (905-1-13)
40-0168                          U2                                 5   2      1   1   2 17         17 0 P_VCC               (692-1-13)
40-0168                          U2                                 5   2      1   1   3 20         20 0 P_VCC               (692-1-13)
40-0168                          U2                                 5   3      1   1   4 6           6 0 GND                 (2-5-13)
40-0168                          U2                                 5   3      1   1   5 7           7 0 GND                 (2-5-13)
40-0168                          U2                                 5   3      1   1   6 18         18 0 GND                 (2-5-13)
40-0168                          U2                                 5   3      1   1   7 19         19 0 GND                 (2-5-13)
40-0168                          U3                                 4   1      1   1   1 23         23 0 XSIG030284          (692-53-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
40-0168                          U3                                 4   1      2   2   1 14         14 0 GND                 (2-5-13)
40-0168                          U3                                 4   1      3   3   1 1           1 0 HB_IN1              (692-13-13)
40-0168                          U3                                 4   1      4   4   1 11         11 0 GND                 (2-5-13)
40-0168                          U3                                 4   1      5   5   1 2           2 0 HB_IN2              (692-12-13)
40-0168                          U3                                 4   1      6   6   1 12         12 0 GND                 (2-5-13)
40-0168                          U3                                 4   1      7   7   1 4           4 0 XSIG030284          (692-53-13)
40-0168                          U3                                 4   1      8   8   1 9           9 0 GND                 (2-5-13)
40-0168                          U3                                 4   1      9   9   1 5           5 0 XSIG030268          (692-48-13)
40-0168                          U3                                 4   1     10  10   1 8           8 0                     (0-0-0)
40-0168                          U3                                 4   1     11  11   1 21         21 0 XSIG030377          (1373-2-13)
40-0168                          U3                                 4   1     12  12   1 16         16 0                     (0-0-0)
40-0168                          U3                                 4   1     13  13   1 24         24 0 XSIG030263          (692-47-13)
40-0168                          U3                                 4   1     14  14   1 13         13 0 GND                 (2-5-13)
40-0168                          U3                                 4   1     15  15   1 3           3 0 GND                 (2-5-13)
40-0168                          U3                                 4   1     16  16   1 10         10 0 GND                 (2-5-13)
40-0168                          U3                                 4   1     17  17   1 15         15 0 XSIG030273          (692-49-13)
40-0168                          U3                                 4   1     18  18   1 22         22 0 XSIG030274          (692-50-13)
40-0168                          U3                                 4   2      1   1   2 17         17 0 P_VCC               (692-1-13)
40-0168                          U3                                 4   2      1   1   3 20         20 0 P_VCC               (692-1-13)
40-0168                          U3                                 4   3      1   1   4 6           6 0 GND                 (2-5-13)
40-0168                          U3                                 4   3      1   1   5 7           7 0 GND                 (2-5-13)
40-0168                          U3                                 4   3      1   1   6 18         18 0 GND                 (2-5-13)
40-0168                          U3                                 4   3      1   1   7 19         19 0 GND                 (2-5-13)
40-0190                          U1                                 3   1      1   1   1 9           9 0 B0                  (1115-17-13)
40-0190                          U1                                 3   1      2   2   1 12         12 0 B1                  (1115-18-13)
40-0190                          U1                                 3   1      3   3   1 15         15 0 B2                  (1115-19-13)
40-0190                          U1                                 3   1      4   4   1 18         18 0 B3                  (1115-20-13)
40-0190                          U1                                 3   1      5   5   1 21         21 0 B4                  (1115-21-13)
40-0190                          U1                                 3   1      6   6   1 24         24 0 B5                  (1115-22-13)
40-0190                          U1                                 3   1      7   7   1 27         27 0 B6                  (1115-23-13)
40-0190                          U1                                 3   1      8   8   1 30         30 0 B7                  (1115-24-13)
40-0190                          U1                                 3   1      9   9   1 37         37 0 GND                 (2-5-13)
40-0190                          U1                                 3   1     10  10   1 38         38 0 GND                 (2-5-13)
40-0190                          U1                                 3   1     11  11   1 20         20 0                     (0-0-0)
40-0190                          U1                                 3   1     12  12   1 6           6 0 LD_GSCK             (692-18-13)
40-0190                          U1                                 3   1     13  13   1 4           4 0 LD_GSCK             (692-18-13)
40-0190                          U1                                 3   1     14  14   1 5           5 0 LD_GSCK             (692-18-13)
40-0190                          U1                                 3   1     15  15   1 3           3 0 LD_GSLAT            (692-17-13)
40-0190                          U1                                 3   1     16  16   1 2           2 0 LD_GSSCK            (692-20-13)
40-0190                          U1                                 3   1     17  17   1 1           1 0 LD_GSSIN            (692-22-13)
40-0190                          U1                                 3   1     18  18   1 19         19 0                     (0-0-0)
40-0190                          U1                                 3   1     19  19   1 7           7 0 G0                  (1115-9-13)
40-0190                          U1                                 3   1     20  20   1 10         10 0 G1                  (1115-10-13)
40-0190                          U1                                 3   1     21  21   1 13         13 0 G2                  (1115-11-13)
40-0190                          U1                                 3   1     22  22   1 16         16 0 G3                  (1115-12-13)
40-0190                          U1                                 3   1     23  23   1 23         23 0 G4                  (1115-13-13)
40-0190                          U1                                 3   1     24  24   1 26         26 0 G5                  (1115-14-13)
40-0190                          U1                                 3   1     25  25   1 29         29 0 G6                  (1115-15-13)
40-0190                          U1                                 3   1     26  26   1 32         32 0 G7                  (1115-16-13)
40-0190                          U1                                 3   1     27  27   1 34         34 0 XSIG040005          (692-65-13)
40-0190                          U1                                 3   1     28  28   1 8           8 0 R0                  (1115-1-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
40-0190                          U1                                 3   1     29  29   1 11         11 0 R1                  (1115-2-13)
40-0190                          U1                                 3   1     30  30   1 14         14 0 R2                  (1115-3-13)
40-0190                          U1                                 3   1     31  31   1 17         17 0 R3                  (1115-4-13)
40-0190                          U1                                 3   1     32  32   1 22         22 0 R4                  (1115-5-13)
40-0190                          U1                                 3   1     33  33   1 25         25 0 R5                  (1115-6-13)
40-0190                          U1                                 3   1     34  34   1 28         28 0 R6                  (1115-7-13)
40-0190                          U1                                 3   1     35  35   1 31         31 0 R7                  (1115-8-13)
40-0190                          U1                                 3   1     36  36   1 36         36 0 LD_XBLNK            (692-19-13)
40-0190                          U1                                 3   2      1   1   2 35         35 0 VCC                 (2-6-13)
40-0190                          U1                                 3   3      1   1   3 33         33 0 GND                 (2-5-13)
70-0002                          J3                                10   1      1   1   1 1           1 0 XSIG030324          (692-56-13)
70-0002                          J3                                10   1      2   2   1 2           2 0 XSIG030373          (1365-1-13)
70-0002                          J4                                11   1      1   1   1 1           1 0 XSIG030329          (692-59-13)
70-0002                          J4                                11   1      2   2   1 2           2 0 XSIG030375          (1373-1-13)
70-0002                          J14                                9   1      1   1   1 1           1 0 XSIG030338          (692-64-13)
70-0002                          J14                                9   1      2   2   1 2           2 0 XSIG030377          (1373-2-13)
70-0025                          J13                               59   1      1   1   1 1           1 0 P_VCC               (692-1-13)
70-0025                          J13                               59   1      2   2   1 3           3 0 GND                 (2-5-13)
70-0025                          J13                               59   1      3   3   1 2           2 0 GND                 (2-5-13)
70-0065                          J8                                34   1      1   1   1 2           2 0 XSIG020494          (692-26-13)
70-0065                          J8                                34   1      2   2   1 3           3 0 XSIG020495          (692-27-13)
70-0065                          J8                                34   1      3   3   1 5           5 0 GND                 (2-5-13)
70-0065                          J8                                34   1      4   4   1 4           4 0                     (0-0-0)
70-0065                          J8                                34   1      5   5   1 6           6 0 GND                 (2-5-13)
70-0065                          J8                                34   1      6   6   1 7           7 0 GND                 (2-5-13)
70-0065                          J8                                34   1      7   7   1 8           8 0 GND                 (2-5-13)
70-0065                          J8                                34   1      8   8   1 9           9 0 GND                 (2-5-13)
70-0065                          J8                                34   1      9   9   1 1           1 0                     (0-0-0)
70-0081                          J7                                23   1      1   1   1 1           1 0 VCC                 (2-6-13)
70-0081                          J7                                23   1      2   2   1 2           2 0 SWD_SWDIO/TMS       (692-9-13)
70-0081                          J7                                23   1      3   3   1 3           3 0 GND                 (2-5-13)
70-0081                          J7                                23   1      4   4   1 4           4 0 SWD_SWCLK/TCK       (692-8-13)
70-0081                          J7                                23   1      5   5   1 5           5 0 GND                 (2-5-13)
70-0081                          J7                                23   1      6   6   1 6           6 0 SWD_SWO/TDO         (692-7-13)
70-0081                          J7                                23   1      7   7   1 8           8 0 SWD_TDI             (692-6-13)
70-0081                          J7                                23   1      8   8   1 9           9 0 GND                 (2-5-13)
70-0081                          J7                                23   1      9   9   1 10         10 0 SWD_nRST            (692-5-13)
70-0081                          J7                                 0   2      1   1   2 7           7 1                     (0-0-0)
70-0083                          J9                                49   1      1   1   1 1           1 0 G0                  (1115-9-13)
70-0083                          J9                                49   1      2   2   1 2           2 0 G1                  (1115-10-13)
70-0083                          J9                                49   1      3   3   1 3           3 0 R0                  (1115-1-13)
70-0083                          J9                                49   1      4   4   1 4           4 0 R1                  (1115-2-13)
70-0083                          J9                                49   1      5   5   1 5           5 0 B0                  (1115-17-13)
70-0083                          J9                                49   1      6   6   1 6           6 0 B1                  (1115-18-13)
70-0083                          J9                                49   1      7   7   1 7           7 0 P_VCC               (692-1-13)
70-0083                          J9                                49   1      8   8   1 8           8 0 P_VCC               (692-1-13)
70-0083                          J10                               50   1      1   1   1 1           1 0 G2                  (1115-11-13)
70-0083                          J10                               50   1      2   2   1 2           2 0 G3                  (1115-12-13)
70-0083                          J10                               50   1      3   3   1 3           3 0 R2                  (1115-3-13)
70-0083                          J10                               50   1      4   4   1 4           4 0 R3                  (1115-4-13)
70-0083                          J10                               50   1      5   5   1 5           5 0 B2                  (1115-19-13)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
