
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
40-0253                          U16                                0   4      1   1   8 4           4 1                     (0-0-0)
40-0253                          U16                                0   4      1   1   9 5           5 1                     (0-0-0)
40-0253                          U16                                0   4      1   1  10 14         14 1                     (0-0-0)
40-0253                          U16                                0   4      1   1  11 16         16 1                     (0-0-0)
40-0253                          U16                                0   4      1   1  12 19         19 1                     (0-0-0)
40-0253                          U16                                0   4      1   1  13 21         21 1                     (0-0-0)
40-0253                          U16                                0   4      1   1  14 22         22 1                     (0-0-0)
40-0258                          U7                               102   1      1   1   1 24         25 0 CODEC_AVDD_1        (1001-81-13)
40-0258                          U7                               102   1      2   2   1 2           3 0 CODEC_CK_1          (1001-31-13)
40-0258                          U7                               102   1      3   3   1 4           5 0                     (0-0-0)
40-0258                          U7                               102   1      4   4   1 5           6 0 CODEC_DOUT_1        (1001-32-13)
40-0258                          U7                               102   1      5   5   1 29         30 0 CODEC_DVDD_1        (1001-82-13)
40-0258                          U7                               102   1      6   6   1 32         33 0 CODEC_INT_1         (1001-35-13)
40-0258                          U7                               102   1      7   7   1 25         26 0                     (0-0-0)
40-0258                          U7                               102   1      8   8   1 27         28 0                     (0-0-0)
40-0258                          U7                               102   1      9   9   1 13         14 0 LNA_OUT_B_1         (1001-76-13)
40-0258                          U7                               102   1     10  10   1 14         15 0 LNA_OUT_A_1         (1001-75-13)
40-0258                          U7                               102   1     11  11   1 15         16 0                     (0-0-0)
40-0258                          U7                               102   1     12  12   1 16         17 0                     (0-0-0)
40-0258                          U7                               102   1     13  13   1 21         22 0                     (0-0-0)
40-0258                          U7                               102   1     14  14   1 20         21 0                     (0-0-0)
Schematic Net Listing
-------------------------------- -------------------------------- --- --- ------ --- --- ------ ------ - -------------------- ---
Part                             Reference                        Sym Sub    Pin Eqv Sub   Pin     Pin Phantom    Net         Net
Number                           Designator                       Num Typ    Id  Cls Pak   Text    Num Flag       Name        Num
